time	V(vout)	V(vout2)
2.422501289723352e-04	1.000000e+00	1.017127e+00
2.437149727223352e-04	1.000000e+00	1.024825e+00
2.451798164723352e-04	1.000000e+00	1.031969e+00
2.461563789723352e-04	1.000000e+00	1.036409e+00
2.466446602223352e-04	1.000000e+00	1.038529e+00
2.471329414723352e-04	1.000000e+00	1.040582e+00
2.476212227223352e-04	1.000000e+00	1.042567e+00
2.481095039723352e-04	1.000000e+00	1.044483e+00
2.485977852223352e-04	1.000000e+00	1.046329e+00
2.495743477223352e-04	1.000000e+00	1.049813e+00
2.505509102223352e-04	1.000000e+00	1.053014e+00
2.515274727223352e-04	1.000000e+00	1.055931e+00
2.529923164723352e-04	1.000000e+00	1.059770e+00
2.544571602223352e-04	1.000000e+00	1.062968e+00
2.559220039723352e-04	1.000000e+00	1.065529e+00
2.573868477223352e-04	1.000000e+00	1.067465e+00
2.588516914723352e-04	1.000000e+00	1.068790e+00
2.598282539723352e-04	1.000000e+00	1.069343e+00
2.603165352223352e-04	1.000000e+00	1.069523e+00
2.608048164723352e-04	1.000000e+00	1.069639e+00
2.612930977223352e-04	1.000000e+00	1.069693e+00
2.617813789723352e-04	1.000000e+00	1.069685e+00
2.622696602223352e-04	1.000000e+00	1.069617e+00
2.632462227223352e-04	1.000000e+00	1.069303e+00
2.642227852223352e-04	1.000000e+00	1.068760e+00
2.651993477223352e-04	1.000000e+00	1.067996e+00
2.666641914723352e-04	1.000000e+00	1.066459e+00
2.681290352223352e-04	1.000000e+00	1.064483e+00
2.695938789723352e-04	1.000000e+00	1.062103e+00
2.710587227223352e-04	1.000000e+00	1.059357e+00
2.725235664723352e-04	1.000000e+00	1.056284e+00
2.735698834366209e-04	1.000000e+00	1.053873e+00
2.746162004009066e-04	1.000000e+00	1.051366e+00
2.756625173651923e-04	1.000000e+00	1.048762e+00
2.767088343294780e-04	1.000000e+00	1.046061e+00
2.777551512937637e-04	1.000000e+00	1.043263e+00
2.788014682580495e-04	1.000000e+00	1.040368e+00
2.798477852223352e-04	1.000000e+00	1.037377e+00
2.813126289723352e-04	1.000000e+00	1.033161e+00
2.822891914723352e-04	1.000000e+00	1.030317e+00
2.827774727223352e-04	1.000000e+00	1.028889e+00
2.832657539723352e-04	1.000000e+00	1.027458e+00
2.837540352223352e-04	1.000000e+00	1.026027e+00
2.842423164723352e-04	1.000000e+00	1.024596e+00
2.847305977223352e-04	1.000000e+00	1.023166e+00
2.852188789723352e-04	1.000000e+00	1.021739e+00
2.857071602223352e-04	1.000000e+00	1.020316e+00
2.861954414723352e-04	1.000000e+00	1.018898e+00
2.866837227223352e-04	1.000000e+00	1.017486e+00
2.871720039723352e-04	1.000000e+00	1.016081e+00
2.881485664723352e-04	1.000000e+00	1.013299e+00
2.891251289723352e-04	1.000000e+00	1.010559e+00
2.901016914723352e-04	1.000000e+00	1.007869e+00
2.905899727223352e-04	1.000000e+00	1.006546e+00
2.910782539723352e-04	1.000000e+00	1.005237e+00
2.920548164723352e-04	1.000000e+00	1.002671e+00
2.930313789723352e-04	1.000000e+00	1.000177e+00
2.940079414723352e-04	1.000000e+00	9.977617e-01
2.954727852223352e-04	1.000000e+00	9.942983e-01
2.969376289723352e-04	1.000000e+00	9.910424e-01
2.984024727223352e-04	1.000000e+00	9.880092e-01
2.993790352223352e-04	1.000000e+00	9.861172e-01
2.998673164723352e-04	1.000000e+00	9.852115e-01
3.003555977223352e-04	1.000000e+00	9.843332e-01
3.008438789723352e-04	1.000000e+00	9.834825e-01
3.013321602223352e-04	1.000000e+00	9.826598e-01
3.018204414723352e-04	1.000000e+00	9.818654e-01
3.023087227223352e-04	1.000000e+00	9.810995e-01
3.032852852223352e-04	1.000000e+00	9.796540e-01
3.042618477223352e-04	1.000000e+00	9.783245e-01
3.052384102223352e-04	1.000000e+00	9.771121e-01
3.067032539723352e-04	1.000000e+00	9.755138e-01
3.081680977223352e-04	1.000000e+00	9.741797e-01
3.096329414723352e-04	1.000000e+00	9.731076e-01
3.110977852223352e-04	1.000000e+00	9.722933e-01
3.125626289723352e-04	1.000000e+00	9.717309e-01
3.135391914723352e-04	1.000000e+00	9.714923e-01
3.140274727223352e-04	1.000000e+00	9.714130e-01
3.145157539723352e-04	1.000000e+00	9.713597e-01
3.150040352223352e-04	1.000000e+00	9.713323e-01
3.154923164723352e-04	1.000000e+00	9.713303e-01
3.164688789723352e-04	1.000000e+00	9.714009e-01
3.174454414723352e-04	1.000000e+00	9.715679e-01
3.184220039723352e-04	1.000000e+00	9.718279e-01
3.198868477223352e-04	1.000000e+00	9.723836e-01
3.213516914723352e-04	1.000000e+00	9.731259e-01
3.228165352223352e-04	1.000000e+00	9.740403e-01
3.242813789723352e-04	1.000000e+00	9.751116e-01
3.257462227223352e-04	1.000000e+00	9.763241e-01
3.268622941509067e-04	1.000000e+00	9.773508e-01
3.279783655794781e-04	1.000000e+00	9.784251e-01
3.290944370080495e-04	1.000000e+00	9.795470e-01
3.302105084366209e-04	1.000000e+00	9.807165e-01
3.313265798651924e-04	1.000000e+00	9.819335e-01
3.324426512937638e-04	1.000000e+00	9.831981e-01
3.335587227223352e-04	1.000000e+00	9.845104e-01
3.350235664723352e-04	1.000000e+00	9.862430e-01
3.360001289723352e-04	1.000000e+00	9.874125e-01
3.369766914723352e-04	1.000000e+00	9.885883e-01
3.374649727223352e-04	1.000000e+00	9.891773e-01
3.379532539723352e-04	1.000000e+00	9.897663e-01
3.389298164723352e-04	1.000000e+00	9.909422e-01
3.394180977223352e-04	1.000000e+00	9.915283e-01
3.399063789723352e-04	1.000000e+00	9.921123e-01
3.403946602223352e-04	1.000000e+00	9.926938e-01
3.413712227223352e-04	1.000000e+00	9.938476e-01
3.423477852223352e-04	1.000000e+00	9.949861e-01
3.433243477223352e-04	1.000000e+00	9.961058e-01
3.443009102223352e-04	1.000000e+00	9.972035e-01
3.452774727223352e-04	1.000000e+00	9.982760e-01
3.467423164723352e-04	1.000000e+00	9.998313e-01
3.482071602223352e-04	1.000000e+00	1.001315e+00
3.496720039723352e-04	1.000000e+00	1.002718e+00
3.511368477223352e-04	1.000000e+00	1.004034e+00
3.526016914723352e-04	1.000000e+00	1.005257e+00
3.535782539723352e-04	1.000000e+00	1.006018e+00
3.540665352223353e-04	1.000000e+00	1.006381e+00
3.545548164723353e-04	1.000000e+00	1.006734e+00
3.550430977223353e-04	1.000000e+00	1.007075e+00
3.555313789723353e-04	1.000000e+00	1.007404e+00
3.565079414723353e-04	1.000000e+00	1.008027e+00
3.574845039723353e-04	1.000000e+00	1.008603e+00
3.584610664723353e-04	1.000000e+00	1.009131e+00
3.599259102223353e-04	1.000000e+00	1.009832e+00
3.613907539723353e-04	1.000000e+00	1.010424e+00
3.628555977223353e-04	1.000000e+00	1.010909e+00
3.643204414723353e-04	1.000000e+00	1.011286e+00
3.657852852223353e-04	1.000000e+00	1.011559e+00
3.667618477223353e-04	1.000000e+00	1.011683e+00
3.677384102223353e-04	1.000000e+00	1.011764e+00
3.682266914723353e-04	1.000000e+00	1.011788e+00
3.687149727223353e-04	1.000000e+00	1.011801e+00
3.696915352223353e-04	1.000000e+00	1.011797e+00
3.706680977223353e-04	1.000000e+00	1.011752e+00
3.716446602223353e-04	1.000000e+00	1.011667e+00
3.731095039723353e-04	1.000000e+00	1.011471e+00
3.745743477223353e-04	1.000000e+00	1.011195e+00
3.760391914723353e-04	1.000000e+00	1.010847e+00
3.775040352223353e-04	1.000000e+00	1.010431e+00
3.789688789723353e-04	1.000000e+00	1.009954e+00
3.801547048651924e-04	1.000000e+00	1.009519e+00
3.813405307580496e-04	1.000000e+00	1.009062e+00
3.825263566509067e-04	1.000000e+00	1.008581e+00
3.837121825437638e-04	1.000000e+00	1.008077e+00
3.848980084366210e-04	1.000000e+00	1.007549e+00
3.860838343294781e-04	1.000000e+00	1.006999e+00
3.872696602223353e-04	1.000000e+00	1.006426e+00
3.881764682580496e-04	1.000000e+00	1.005983e+00
3.890832762937638e-04	1.000000e+00	1.005539e+00
3.899900843294781e-04	1.000000e+00	1.005093e+00
3.908968923651924e-04	1.000000e+00	1.004646e+00
3.918037004009067e-04	1.000000e+00	1.004198e+00
3.927105084366210e-04	1.000000e+00	1.003748e+00
3.936173164723353e-04	1.000000e+00	1.003298e+00
3.945938789723353e-04	1.000000e+00	1.002820e+00
3.955704414723353e-04	1.000000e+00	1.002347e+00
3.970352852223353e-04	1.000000e+00	1.001652e+00
3.985001289723353e-04	1.000000e+00	1.000976e+00
3.999649727223353e-04	1.000000e+00	1.000325e+00
4.014298164723353e-04	1.000000e+00	9.997022e-01
4.023366245080496e-04	1.000000e+00	9.993308e-01
4.032434325437638e-04	1.000000e+00	9.989738e-01
4.041502405794781e-04	1.000000e+00	9.986313e-01
4.050570486151924e-04	1.000000e+00	9.983032e-01
4.059638566509067e-04	1.000000e+00	9.979896e-01
4.068706646866210e-04	1.000000e+00	9.976903e-01
4.077774727223353e-04	1.000000e+00	9.974055e-01
4.082657539723353e-04	1.000000e+00	9.972596e-01
4.092423164723353e-04	1.000000e+00	9.969817e-01
4.102188789723353e-04	1.000000e+00	9.967232e-01
4.116837227223353e-04	1.000000e+00	9.963721e-01
4.131485664723353e-04	1.000000e+00	9.960654e-01
4.146134102223353e-04	1.000000e+00	9.958036e-01
4.160782539723353e-04	1.000000e+00	9.955865e-01
4.175430977223353e-04	1.000000e+00	9.954135e-01
4.186591691509068e-04	1.000000e+00	9.953127e-01
4.197752405794782e-04	1.000000e+00	9.952351e-01
4.208913120080496e-04	1.000000e+00	9.951807e-01
4.220073834366210e-04	1.000000e+00	9.951495e-01
4.231234548651925e-04	1.000000e+00	9.951414e-01
4.242395262937639e-04	1.000000e+00	9.951565e-01
4.253555977223353e-04	1.000000e+00	9.951949e-01
4.268204414723353e-04	1.000000e+00	9.952734e-01
4.282852852223353e-04	1.000000e+00	9.953845e-01
4.297501289723353e-04	1.000000e+00	9.955260e-01
4.310754637937639e-04	1.000000e+00	9.956831e-01
4.324007986151925e-04	1.000000e+00	9.958560e-01
4.337261334366210e-04	1.000000e+00	9.960446e-01
4.350514682580496e-04	1.000000e+00	9.962491e-01
4.363768030794782e-04	1.000000e+00	9.964693e-01
4.377021379009068e-04	1.000000e+00	9.967054e-01
4.390274727223353e-04	1.000000e+00	9.969572e-01
4.398645262937639e-04	1.000000e+00	9.971188e-01
4.407015798651925e-04	1.000000e+00	9.972822e-01
4.415386334366210e-04	1.000000e+00	9.974473e-01
4.423756870080496e-04	1.000000e+00	9.976142e-01
4.432127405794782e-04	1.000000e+00	9.977827e-01
4.440497941509068e-04	1.000000e+00	9.979531e-01
4.448868477223353e-04	1.000000e+00	9.981251e-01
4.453751289723353e-04	1.000000e+00	9.982249e-01
4.468399727223353e-04	1.000000e+00	9.985236e-01
4.483048164723353e-04	1.000000e+00	9.988195e-01
4.497696602223353e-04	1.000000e+00	9.991106e-01
4.509554861151925e-04	1.000000e+00	9.993433e-01
4.521413120080496e-04	1.000000e+00	9.995683e-01
4.533271379009068e-04	1.000000e+00	9.997858e-01
4.545129637937639e-04	1.000000e+00	9.999956e-01
4.556987896866210e-04	1.000000e+00	1.000198e+00
4.568846155794782e-04	1.000000e+00	1.000392e+00
4.580704414723353e-04	1.000000e+00	1.000579e+00
4.592562673651925e-04	1.000000e+00	1.000755e+00
4.604420932580496e-04	1.000000e+00	1.000919e+00
